game_id,name,no_of_reviews,percent,rates,pegi_rate,price
945360,Among Us,0,0,0,-,499
730,CounterStrike Global Offensive,90780,88,3,-,0
1097150,Fall Guys Ultimate Knockout,32436,84,3,-,199
1158310,Crusader Kings III,5359,91,3,m,499
1085660,Destiny 2,9147,87,3,t,0
1145360,Hades,0,0,0,-,249
1172620,Sea of Thieves,4703,88,3,t,399
359550,Tom Clancys Rainbow Six Siege,14261,89,3,m,199
570,Dota 2,14202,79,2,-,0
230410,Warframe,6342,85,3,m,0
306130,The Elder Scrolls Online,1806,86,3,m,199
238960,Path of Exile,2976,91,3,-,0
397540,Borderlands 3,1791,85,3,m,599
1129580,Medieval Dynasty,6674,92,3,-,299
381210,Dead by Daylight,6559,87,3,m,199
1250410,Microsoft Flight Simulator,2234,65,3,e,599
271590,Grand Theft Auto V,12354,90,3,m,299
39210,FINAL FANTASY XIV Online,727,89,3,t,199
582660,Black Desert Online,586,82,3,-,999
412020,Metro Exodus,2615,85,3,m,399
440900,Conan Exiles,1679,80,3,-,399
236390,War Thunder,4414,79,2,t,0
548430,Deep Rock Galactic,0,0,0,-,299
252490,Rust,6745,90,3,-,399
971996,Among Us  Mini Crewmate Bundle,0,0,0,-,299
440,Team Fortress 2,11564,94,3,-,0
976730,Halo The Master Chief Collection,3420,93,3,m,399
945360,Among Us,0,0,0,-,499
730,CounterStrike Global Offensive,90780,88,3,-,0
1097150,Fall Guys Ultimate Knockout,32436,84,3,-,199
1158310,Crusader Kings III,5359,91,3,m,499
1085660,Destiny 2,9147,87,3,t,0
1145360,Hades,0,0,0,-,249
1172620,Sea of Thieves,4703,88,3,t,399
359550,Tom Clancys Rainbow Six Siege,14261,89,3,m,199
570,Dota 2,14202,79,2,-,0
230410,Warframe,6342,85,3,m,0
306130,The Elder Scrolls Online,1806,86,3,m,199
238960,Path of Exile,2976,91,3,-,0
397540,Borderlands 3,1791,85,3,m,599
1129580,Medieval Dynasty,6671,92,3,-,299
381210,Dead by Daylight,6559,87,3,m,199
1250410,Microsoft Flight Simulator,2234,65,3,e,599
271590,Grand Theft Auto V,12354,90,3,m,299
39210,FINAL FANTASY XIV Online,727,89,3,t,199
582660,Black Desert Online,586,82,3,-,999
412020,Metro Exodus,2615,85,3,m,399
440900,Conan Exiles,1679,80,3,-,399
236390,War Thunder,4414,79,2,t,0
548430,Deep Rock Galactic,0,0,0,-,299
252490,Rust,6745,90,3,-,399
971996,Among Us  Mini Crewmate Bundle,0,0,0,-,299
440,Team Fortress 2,11564,94,3,-,0
976730,Halo The Master Chief Collection,3420,93,3,m,399
1056640,Phantasy Star Online 2,932,80,3,m,0
1174180,Red Dead Redemption 2,6469,88,3,m,599
252950,Rocket League,14234,74,2,e,0
289070,Sid Meiers Civilization VI,2643,89,3,e10,599
386360,SMITE,1355,77,2,t,0
1307550,Craftopia,7190,84,3,-,249
582010,Monster Hunter World,4572,91,3,t,299
275850,No Mans Sky,4605,89,3,t,599
1041720,Kingdoms of Amalur ReReckoning,2088,70,2,m,399
997070,Marvels Avengers,9440,65,3,t,599
632360,Risk of Rain 2,0,0,0,t,249
962130,Grounded,917,88,3,rp,299
629760,MORDHAU,2328,80,3,-,299
1151640,Horizon Zero Dawn Complete Edition,1816,88,3,t,499
221100,DayZ,2087,82,3,m,449
427520,Factorio,0,0,0,-,0
1222670,The Sims 4,541,88,3,t,499
1286830,STAR WARS The Old Republic,1652,89,3,t,0
489830,The Elder Scrolls V Skyrim Special Edition,0,0,0,m,399
1016120,PGA TOUR 2K21,227,83,3,e,599
346110,ARK Survival Evolved,4624,88,3,t,499
1206200,Conan Exiles Isle of Siptah,715,50,3,-,199
526870,Satisfactory,0,0,0,-,299
945360,Among Us,0,0,0,-,499
730,CounterStrike Global Offensive,90780,88,3,-,0
1097150,Fall Guys Ultimate Knockout,32436,84,3,-,199
1158310,Crusader Kings III,5359,91,3,m,499
1085660,Destiny 2,9147,87,3,t,0
1145360,Hades,0,0,0,-,249
1172620,Sea of Thieves,4703,88,3,t,399
359550,Tom Clancys Rainbow Six Siege,14261,89,3,m,199
570,Dota 2,14202,79,2,-,0
230410,Warframe,6342,85,3,m,0
306130,The Elder Scrolls Online,1806,86,3,m,199
238960,Path of Exile,2976,91,3,-,0
397540,Borderlands 3,1791,85,3,m,599
1129580,Medieval Dynasty,6671,92,3,-,299
381210,Dead by Daylight,6559,87,3,m,199
1250410,Microsoft Flight Simulator,2234,65,3,e,599
271590,Grand Theft Auto V,12354,90,3,m,299
39210,FINAL FANTASY XIV Online,727,89,3,t,199
582660,Black Desert Online,586,82,3,-,999
412020,Metro Exodus,2615,85,3,m,399
440900,Conan Exiles,1679,80,3,-,399
236390,War Thunder,4414,79,2,t,0
548430,Deep Rock Galactic,0,0,0,-,299
252490,Rust,6745,90,3,-,399
971996,Among Us  Mini Crewmate Bundle,0,0,0,-,299
440,Team Fortress 2,11564,94,3,-,0
976730,Halo The Master Chief Collection,3420,93,3,m,399
1056640,Phantasy Star Online 2,932,80,3,m,0
1174180,Red Dead Redemption 2,6469,88,3,m,599
252950,Rocket League,14234,74,2,e,0
289070,Sid Meiers Civilization VI,2643,89,3,e10,599
386360,SMITE,1355,77,2,t,0
1307550,Craftopia,7190,84,3,-,249
